Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.008929743426010037,-4.252992584952153e-05,0.0,0.0,0.0,0.0,0.0,0.00896789964722208,-3.369122714502737e-05,0.0024071259489271356,8.042959962040186e-05,0.003251611122371433,0.00017249058873858303,9.984619828173891e-05,6.329464667942375e-05,0.005575933959335089,0.0006121366321558488,0.00021741562522947788,0.03430116921663284,0.030953213572502136,0.013242204348110834,0.01630011940794894,0.0016570076113566756,0.0017771741840988398,0.011149478248475723,0.0149380319250986,0.0070358801943895335,0.001034530807537701,0.014184535644355317,0.006645703340873537,0.0038966075517237186,0.0038851716089993715,0.005676820714136292,0.00784320629366463,0.0013323568112603367,0.0009450363786523116,0.015875715762376785,0.015851642936468124,0.04783341475749592,0.03486050030342364,0.03486978551967559,0.0020191406365484,0.011604152619838715,0.012753307819366455,0.006167908199131489,0.006280037574470043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35527631640434265,0.25259459018707275,0.32782676815986633,0.15653672814369202,1.4511816501617432,1.1798526048660278,1.2499455213546753
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.016032601143602027,-4.653880023397505e-05,0.0,0.0,0.0,0.0,0.0,0.016093443853241768,-2.3612439690623432e-05,0.004158988463620214,0.0001650338526815176,0.004370682425619974,0.0002754492743406445,0.0001932083541760221,0.00010637783270794898,0.01121473964303732,0.0009577788686577452,0.0004149485903326422,0.06712101399898529,0.06061025336384773,0.013124738547975669,0.016179493901307903,0.003240952268242836,0.003505236003547907,0.011194297771547616,0.01573455982089926,0.012199665755520898,0.001679246080013385,0.026006142072103347,0.012602085968202725,0.007566769607365131,0.007557307370007038,0.006246164236767021,0.00885249126112668,0.002005244307299161,0.0015220598974689174,0.03160785883665085,0.03155755624175072,0.06141717174359257,0.034583908221697914,0.03460912560415871,0.004097221419215202,0.022056421265006065,0.024474892765283585,0.010762813501060009,0.011247658170759678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699112057685852,0.47705793380737305,0.6833937764167786,0.3089068531990051,2.9589877128601074,2.3521220684051514,2.4626646041870117
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.022848272173344727,4.354342763690511e-06,0.0,0.0,0.0,0.0,0.0,0.022931348123287544,4.722779704025015e-05,0.005775019922274255,0.0002692942798603326,0.0052927265917050645,0.0003083344199694693,0.0002640525926835835,0.00018044184253085405,0.016377681866288185,0.001412157799647441,0.0005963894072920084,0.09909269958734512,0.08936606347560883,0.012985366129896078,0.016014465015630804,0.0046801939606666565,0.00506278732791543,0.010895937627562757,0.016000392694894984,0.017226129566725635,0.0022484475650438834,0.03742937021186325,0.018393294496718865,0.011098666116595268,0.011092028580605984,0.006764726428275178,0.009614493553448435,0.002635607933116479,0.0020693796813509224,0.04767604172229767,0.04759756848216057,0.07549037936843567,0.03444632214165175,0.034484950990833346,0.00625062920153141,0.031788039952516556,0.035510431975126266,0.014371953904628754,0.01531694084405899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0729637145996094,0.7697426080703735,1.0396268367767334,0.46581658720970154,4.354025363922119,3.482028007507324,3.732964038848877
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.029450607791355287,7.095158252923284e-06,0.0,0.0,0.0,0.0,0.0,0.029550202361961327,6.041836604708806e-05,0.007406078995533695,0.00035805764491669834,0.006268141871576453,0.00035961036337539554,0.0003239844227209687,0.0001858405739767477,0.02104625478386879,0.0017134209392471885,0.0007879870245233178,0.13027188181877136,0.11764447391033173,0.012963986968737013,0.015940330663110524,0.006221098825335503,0.00677340105175972,0.010297065899090352,0.015936503057809706,0.022318375878095625,0.0028052812418099355,0.04879860488699356,0.024078811392674943,0.014548644423484802,0.014550438150763512,0.006821952793426574,0.01010322798824078,0.0031455566173660184,0.002544936693748343,0.06395454704761505,0.06386420130729675,0.0895829893502729,0.03452228332688667,0.03457668023102094,0.00853212084621191,0.041036300361156464,0.046171851456165314,0.0173175185918808,0.0189663153141737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3964893817901611,0.9886201024055481,1.4091237783432007,0.6262120008468628,5.958808422088623,4.613819122314453,4.900074005126953
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.03587007413641121,0.0008229456143453717,0.0,0.0,0.0,0.0,0.0,0.03600023078507172,0.0008819582872092724,0.008797453455624027,0.0004582559340633452,0.007084650646401243,0.0002290961565449834,0.0003799155820161104,7.652338535990566e-05,0.02579639106988907,0.002102457651999812,0.0009155854349955916,0.16091684997081757,0.14544586837291718,0.012973417056782503,0.015850327539052623,0.0074685425497591496,0.008154775947332382,0.00991233517313314,0.015972717418529007,0.027397315544962653,0.0032881961082330178,0.05990240050795021,0.029610988774856416,0.017742708325386047,0.017761236056685448,0.00710481986503912,0.01081775435443841,0.003547371907893114,0.0029296085674751665,0.07994485646486282,0.07985518872737885,0.1036226272486975,0.035523213439299504,0.03559091911495081,0.010695370845496655,0.049652099609375,0.0563909150660038,0.01969301886856556,0.02193284034729004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7570264339447021,1.2132422924041748,1.7582049369812012,0.7672083377838135,7.4704976081848145,5.794709205627441,6.093801498413086
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.035483214881581036,0.005005962681025267,0.0,0.0,0.0,0.0,0.0,0.035608546979041596,0.005069749429821968,0.008604541582533569,0.00047038740012794733,0.006897022133817225,0.0001640516857150942,0.00036524090683087707,9.046133345691487e-05,0.024761047214269638,0.0020825108213129283,0.000926712469663471,0.15959976613521576,0.14406196773052216,0.012992798087497634,0.015825835431016774,0.007361607160419226,0.00803751964122057,0.009806924836882275,0.015836102709794526,0.02747181558821621,0.0032921192389730024,0.05917459463042793,0.029212918360912016,0.017403985321789474,0.017403246834874153,0.0068597031678666875,0.01045083276264502,0.0034245332746498966,0.0028428149670221615,0.08014389127492905,0.08005917817354202,0.10319292696628922,0.0367305033503969,0.03679935815579307,0.010483495891094208,0.048318371176719666,0.055005770176649094,0.0187715794891119,0.02105552889406681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7670300006866455,1.2548396587371826,1.7608916759490967,0.7611379623413086,7.41642427444458,5.760526657104492,6.139558792114258
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.03499945867788277,0.008621541783213615,0.0,0.0,0.0,0.0,0.0,0.03512078912258888,0.008676161989569664,0.008520636248090286,0.0004547325661405921,0.007019536640895319,0.00019559863721951842,0.00034787808544933796,7.448192627634853e-05,0.024411194026470184,0.0019147898433541537,0.0009061238379217684,0.15805083513259888,0.1429968923330307,0.012893967954632397,0.015628263860680933,0.0073387715965509415,0.008059913292527199,0.009357095265586368,0.015403896633567166,0.027305475213049622,0.003216467276687608,0.05901414845289658,0.02917238633071598,0.017123996044118767,0.017140859737992287,0.006542618351369686,0.010413985123348516,0.003287392923414898,0.002819490072543125,0.0799594521522522,0.0798865482211113,0.10174933077498077,0.03712146837469082,0.037192687683796764,0.010469394735991955,0.047287993133068085,0.05420113727450371,0.017424168065190315,0.019916992634534836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.689099669456482,1.1559847593307495,1.7788118124008179,0.757606565952301,7.641683578491211,5.794392108917236,6.047306060791016
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.034633662399196165,0.012290927581489086,0.0,0.0,0.0,0.0,0.0,0.034759508351481325,0.012350968085229397,0.008337325825839386,0.0004828082164749503,0.006926256200674591,0.00010622087575029582,0.0003348997561261058,3.464516339590773e-05,0.024058479815721512,0.0020489238668233156,0.0008344831876456738,0.15728169679641724,0.14231222867965698,0.012943190689625626,0.015580314291714685,0.007164724636822939,0.007852188311517239,0.009328102969222797,0.015335448762315022,0.02724398824944664,0.0031677620678923417,0.058775465412894516,0.029112726103080102,0.016919879876620674,0.01692245714366436,0.006473300293162127,0.010355325227831516,0.003166268978981333,0.00270896899869184,0.07944006472826004,0.07936989516019821,0.10072576847866196,0.03742606786149616,0.03749500730945587,0.010361064225435257,0.04655032977461815,0.0534789077937603,0.016609037294983864,0.019158439710736275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7387574911117554,1.2260196208953857,1.76515531539917,0.7507291436195374,7.550359725952148,5.734938621520996,6.113475799560547
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.034281726908961946,0.013937578536570072,0.0,0.0,0.0,0.0,0.0,0.03440086858851135,0.01400461420416832,0.008347201245032616,0.0004833311541005969,0.0069440278051816655,0.00015119511226657778,0.0003258577489759773,0.0001109677177737467,0.023394450545310974,0.0020159282721579075,0.0009090754319913685,0.15678749978542328,0.14175941050052643,0.013022216266571823,0.015663941148245063,0.007198059465736151,0.007891826331615448,0.009039254961812695,0.015271777148268724,0.027205183936051407,0.0031985851290760375,0.05863523205903168,0.02909709343142853,0.016870011324206926,0.016851777210831642,0.006072284863986874,0.009954867969291927,0.0031261957549123622,0.0027627599188274525,0.0786520317196846,0.07857813686132431,0.09966686218063339,0.03750281824619641,0.0375714006033919,0.010316652245819569,0.046189479529857635,0.05300746113061905,0.016515104100108147,0.019202345982193947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.707360029220581,1.250252604484558,1.7408891916275024,0.7498231530189514,7.600244998931885,5.80463171005249,6.03104305267334
